episode=91, mum of sent packets=4575, num of received packets=3605, num of lost packets=967, PDR=78.80, actual sim duration=0.29
episode=92, mum of sent packets=4586, num of received packets=3573, num of lost packets=1008, PDR=77.91, actual sim duration=0.29
episode=93, mum of sent packets=4525, num of received packets=3534, num of lost packets=987, PDR=78.10, actual sim duration=0.28
episode=94, mum of sent packets=4533, num of received packets=3567, num of lost packets=963, PDR=78.69, actual sim duration=0.29
episode=95, mum of sent packets=4543, num of received packets=3545, num of lost packets=993, PDR=78.03, actual sim duration=0.30
episode=96, mum of sent packets=4573, num of received packets=3615, num of lost packets=953, PDR=79.05, actual sim duration=0.71
episode=97, mum of sent packets=4616, num of received packets=3575, num of lost packets=1036, PDR=77.45, actual sim duration=0.30
episode=98, mum of sent packets=4588, num of received packets=3555, num of lost packets=1028, PDR=77.48, actual sim duration=0.29
episode=99, mum of sent packets=4600, num of received packets=3586, num of lost packets=1009, PDR=77.96, actual sim duration=0.30
episode=100, mum of sent packets=4590, num of received packets=3595, num of lost packets=991, PDR=78.32, actual sim duration=0.29
episode=101, mum of sent packets=4550, num of received packets=3616, num of lost packets=932, PDR=79.47, actual sim duration=0.28
episode=102, mum of sent packets=4562, num of received packets=3536, num of lost packets=1021, PDR=77.51, actual sim duration=0.29
episode=103, mum of sent packets=4457, num of received packets=3528, num of lost packets=925, PDR=79.16, actual sim duration=0.28
episode=104, mum of sent packets=4602, num of received packets=3600, num of lost packets=999, PDR=78.23, actual sim duration=0.29
episode=105, mum of sent packets=4447, num of received packets=3497, num of lost packets=946, PDR=78.64, actual sim duration=0.28
episode=106, mum of sent packets=4532, num of received packets=3516, num of lost packets=1007, PDR=77.58, actual sim duration=0.28
episode=107, mum of sent packets=4523, num of received packets=3541, num of lost packets=977, PDR=78.29, actual sim duration=0.29
episode=108, mum of sent packets=4570, num of received packets=3558, num of lost packets=1009, PDR=77.86, actual sim duration=0.29
episode=109, mum of sent packets=4461, num of received packets=3468, num of lost packets=987, PDR=77.74, actual sim duration=0.28
episode=110, mum of sent packets=4544, num of received packets=3551, num of lost packets=990, PDR=78.15, actual sim duration=0.30
episode=111, mum of sent packets=4415, num of received packets=3428, num of lost packets=984, PDR=77.64, actual sim duration=0.29
episode=112, mum of sent packets=4515, num of received packets=3506, num of lost packets=1008, PDR=77.65, actual sim duration=0.28
episode=113, mum of sent packets=4608, num of received packets=3579, num of lost packets=1026, PDR=77.67, actual sim duration=0.31
episode=114, mum of sent packets=4588, num of received packets=3616, num of lost packets=964, PDR=78.81, actual sim duration=0.29
episode=115, mum of sent packets=4590, num of received packets=3590, num of lost packets=996, PDR=78.21, actual sim duration=0.29
episode=116, mum of sent packets=4582, num of received packets=3570, num of lost packets=1008, PDR=77.91, actual sim duration=0.29
episode=117, mum of sent packets=4597, num of received packets=3619, num of lost packets=973, PDR=78.73, actual sim duration=0.29
episode=118, mum of sent packets=4605, num of received packets=3578, num of lost packets=1023, PDR=77.70, actual sim duration=0.29
episode=119, mum of sent packets=4585, num of received packets=3605, num of lost packets=973, PDR=78.63, actual sim duration=0.29
episode=120, mum of sent packets=4577, num of received packets=3574, num of lost packets=997, PDR=78.09, actual sim duration=0.28
episode=121, mum of sent packets=4565, num of received packets=3558, num of lost packets=1002, PDR=77.94, actual sim duration=0.28
episode=122, mum of sent packets=4638, num of received packets=3657, num of lost packets=977, PDR=78.85, actual sim duration=0.29
