episode=119, mum of sent packets=74488, num of received packets=48815, num of lost packets=25673, PDR=65.53
episode=120, mum of sent packets=73522, num of received packets=47702, num of lost packets=25820, PDR=64.88
episode=121, mum of sent packets=73207, num of received packets=47482, num of lost packets=25725, PDR=64.86
episode=122, mum of sent packets=73788, num of received packets=48217, num of lost packets=25571, PDR=65.35
episode=123, mum of sent packets=73949, num of received packets=48142, num of lost packets=25807, PDR=65.10
episode=124, mum of sent packets=74052, num of received packets=48252, num of lost packets=25800, PDR=65.16
episode=125, mum of sent packets=73755, num of received packets=47448, num of lost packets=26307, PDR=64.33
episode=126, mum of sent packets=73735, num of received packets=47364, num of lost packets=26371, PDR=64.24
episode=127, mum of sent packets=73921, num of received packets=48046, num of lost packets=25875, PDR=65.00
episode=128, mum of sent packets=73903, num of received packets=48387, num of lost packets=25516, PDR=65.47
episode=129, mum of sent packets=73756, num of received packets=47748, num of lost packets=26008, PDR=64.74
episode=130, mum of sent packets=73632, num of received packets=47620, num of lost packets=26012, PDR=64.67
episode=131, mum of sent packets=74017, num of received packets=47323, num of lost packets=26694, PDR=63.94
episode=132, mum of sent packets=74214, num of received packets=49195, num of lost packets=25019, PDR=66.29
episode=133, mum of sent packets=74000, num of received packets=47886, num of lost packets=26114, PDR=64.71
episode=134, mum of sent packets=73890, num of received packets=48285, num of lost packets=25605, PDR=65.35
episode=135, mum of sent packets=73103, num of received packets=47215, num of lost packets=25888, PDR=64.59
episode=136, mum of sent packets=74354, num of received packets=49111, num of lost packets=25243, PDR=66.05
episode=137, mum of sent packets=73073, num of received packets=47028, num of lost packets=26045, PDR=64.36
episode=138, mum of sent packets=73637, num of received packets=47397, num of lost packets=26240, PDR=64.37
episode=139, mum of sent packets=74471, num of received packets=48936, num of lost packets=25535, PDR=65.71
episode=140, mum of sent packets=74187, num of received packets=48613, num of lost packets=25574, PDR=65.53
episode=141, mum of sent packets=73896, num of received packets=47861, num of lost packets=26035, PDR=64.77
episode=142, mum of sent packets=73980, num of received packets=48213, num of lost packets=25767, PDR=65.17
episode=143, mum of sent packets=73764, num of received packets=47835, num of lost packets=25929, PDR=64.85
episode=144, mum of sent packets=72988, num of received packets=46202, num of lost packets=26786, PDR=63.30
episode=145, mum of sent packets=73278, num of received packets=46709, num of lost packets=26569, PDR=63.74
episode=146, mum of sent packets=74022, num of received packets=48749, num of lost packets=25273, PDR=65.86
episode=147, mum of sent packets=73858, num of received packets=48391, num of lost packets=25467, PDR=65.52
episode=148, mum of sent packets=73860, num of received packets=48651, num of lost packets=25209, PDR=65.87
episode=149, mum of sent packets=73314, num of received packets=47679, num of lost packets=25635, PDR=65.03
episode=150, mum of sent packets=73383, num of received packets=46972, num of lost packets=26411, PDR=64.01
episode=151, mum of sent packets=74152, num of received packets=48437, num of lost packets=25715, PDR=65.32
episode=152, mum of sent packets=73737, num of received packets=47996, num of lost packets=25741, PDR=65.09
episode=153, mum of sent packets=74063, num of received packets=48312, num of lost packets=25751, PDR=65.23
episode=154, mum of sent packets=73586, num of received packets=47669, num of lost packets=25917, PDR=64.78
episode=155, mum of sent packets=74083, num of received packets=48189, num of lost packets=25894, PDR=65.05
episode=156, mum of sent packets=74106, num of received packets=47727, num of lost packets=26379, PDR=64.40
episode=157, mum of sent packets=74318, num of received packets=48423, num of lost packets=25895, PDR=65.16
episode=158, mum of sent packets=74005, num of received packets=48469, num of lost packets=25536, PDR=65.49
episode=159, mum of sent packets=73715, num of received packets=47032, num of lost packets=26683, PDR=63.80
episode=160, mum of sent packets=73654, num of received packets=48410, num of lost packets=25244, PDR=65.73
episode=161, mum of sent packets=73232, num of received packets=47351, num of lost packets=25881, PDR=64.66
episode=162, mum of sent packets=73834, num of received packets=47827, num of lost packets=26007, PDR=64.78
episode=163, mum of sent packets=74527, num of received packets=48423, num of lost packets=26104, PDR=64.97
episode=164, mum of sent packets=74264, num of received packets=48058, num of lost packets=26206, PDR=64.71
episode=165, mum of sent packets=73522, num of received packets=47559, num of lost packets=25963, PDR=64.69
episode=166, mum of sent packets=74034, num of received packets=47902, num of lost packets=26132, PDR=64.70
episode=167, mum of sent packets=73766, num of received packets=47656, num of lost packets=26110, PDR=64.60
episode=168, mum of sent packets=73458, num of received packets=48095, num of lost packets=25363, PDR=65.47
episode=169, mum of sent packets=74141, num of received packets=48297, num of lost packets=25844, PDR=65.14
episode=170, mum of sent packets=74232, num of received packets=48312, num of lost packets=25920, PDR=65.08
episode=171, mum of sent packets=73944, num of received packets=48522, num of lost packets=25422, PDR=65.62
episode=172, mum of sent packets=73780, num of received packets=47934, num of lost packets=25846, PDR=64.97
episode=173, mum of sent packets=74271, num of received packets=47720, num of lost packets=26551, PDR=64.25
episode=174, mum of sent packets=74043, num of received packets=48276, num of lost packets=25767, PDR=65.20
episode=175, mum of sent packets=73790, num of received packets=47460, num of lost packets=26330, PDR=64.32
episode=176, mum of sent packets=74370, num of received packets=48662, num of lost packets=25708, PDR=65.43
episode=177, mum of sent packets=73366, num of received packets=47634, num of lost packets=25732, PDR=64.93
episode=178, mum of sent packets=73130, num of received packets=47321, num of lost packets=25809, PDR=64.71
episode=179, mum of sent packets=73417, num of received packets=47876, num of lost packets=25541, PDR=65.21
episode=180, mum of sent packets=74424, num of received packets=48027, num of lost packets=26397, PDR=64.53
episode=181, mum of sent packets=73888, num of received packets=48479, num of lost packets=25409, PDR=65.61
episode=182, mum of sent packets=73640, num of received packets=47671, num of lost packets=25969, PDR=64.74
episode=183, mum of sent packets=73964, num of received packets=48439, num of lost packets=25525, PDR=65.49
episode=184, mum of sent packets=73337, num of received packets=47262, num of lost packets=26075, PDR=64.44
episode=185, mum of sent packets=73905, num of received packets=48422, num of lost packets=25483, PDR=65.52
episode=186, mum of sent packets=73977, num of received packets=47915, num of lost packets=26062, PDR=64.77
episode=187, mum of sent packets=73888, num of received packets=47633, num of lost packets=26255, PDR=64.47
episode=188, mum of sent packets=74417, num of received packets=48242, num of lost packets=26175, PDR=64.83
episode=189, mum of sent packets=73883, num of received packets=47838, num of lost packets=26045, PDR=64.75
episode=190, mum of sent packets=74320, num of received packets=48651, num of lost packets=25669, PDR=65.46
episode=191, mum of sent packets=74247, num of received packets=47611, num of lost packets=26636, PDR=64.13
episode=192, mum of sent packets=74192, num of received packets=47930, num of lost packets=26262, PDR=64.60
episode=193, mum of sent packets=73921, num of received packets=48176, num of lost packets=25745, PDR=65.17
episode=194, mum of sent packets=74648, num of received packets=48364, num of lost packets=26284, PDR=64.79
episode=195, mum of sent packets=74190, num of received packets=47585, num of lost packets=26605, PDR=64.14
episode=196, mum of sent packets=74031, num of received packets=48615, num of lost packets=25416, PDR=65.67
episode=197, mum of sent packets=74017, num of received packets=47762, num of lost packets=26255, PDR=64.53
episode=198, mum of sent packets=74038, num of received packets=48418, num of lost packets=25620, PDR=65.40
episode=199, mum of sent packets=74495, num of received packets=47987, num of lost packets=26508, PDR=64.42
episode=200, mum of sent packets=74566, num of received packets=49301, num of lost packets=25265, PDR=66.12
episode=201, mum of sent packets=73421, num of received packets=47343, num of lost packets=26078, PDR=64.48
episode=202, mum of sent packets=74141, num of received packets=48337, num of lost packets=25804, PDR=65.20
episode=203, mum of sent packets=74070, num of received packets=47999, num of lost packets=26071, PDR=64.80
episode=204, mum of sent packets=73589, num of received packets=48144, num of lost packets=25445, PDR=65.42
episode=205, mum of sent packets=74071, num of received packets=48832, num of lost packets=25239, PDR=65.93
episode=206, mum of sent packets=73341, num of received packets=47310, num of lost packets=26031, PDR=64.51
episode=207, mum of sent packets=73970, num of received packets=47615, num of lost packets=26355, PDR=64.37
episode=208, mum of sent packets=73091, num of received packets=46534, num of lost packets=26557, PDR=63.67
episode=209, mum of sent packets=73476, num of received packets=47050, num of lost packets=26426, PDR=64.03
episode=210, mum of sent packets=74355, num of received packets=48009, num of lost packets=26346, PDR=64.57
episode=211, mum of sent packets=74079, num of received packets=48428, num of lost packets=25651, PDR=65.37
episode=212, mum of sent packets=73992, num of received packets=47800, num of lost packets=26192, PDR=64.60
episode=213, mum of sent packets=74287, num of received packets=48541, num of lost packets=25746, PDR=65.34
episode=214, mum of sent packets=73862, num of received packets=47660, num of lost packets=26202, PDR=64.53
episode=215, mum of sent packets=72822, num of received packets=46928, num of lost packets=25894, PDR=64.44
episode=216, mum of sent packets=73888, num of received packets=48555, num of lost packets=25333, PDR=65.71
episode=217, mum of sent packets=73722, num of received packets=47656, num of lost packets=26066, PDR=64.64
episode=218, mum of sent packets=74160, num of received packets=48784, num of lost packets=25376, PDR=65.78
episode=219, mum of sent packets=73673, num of received packets=48398, num of lost packets=25275, PDR=65.69
episode=220, mum of sent packets=74096, num of received packets=48346, num of lost packets=25750, PDR=65.25
episode=221, mum of sent packets=74228, num of received packets=48093, num of lost packets=26135, PDR=64.79
episode=222, mum of sent packets=73676, num of received packets=47509, num of lost packets=26167, PDR=64.48
episode=223, mum of sent packets=73263, num of received packets=48064, num of lost packets=25199, PDR=65.60
episode=224, mum of sent packets=74356, num of received packets=48584, num of lost packets=25772, PDR=65.34
