episode=101, mum of sent packets=14013, num of received packets=8909, num of lost packets=5103, PDR=63.58, actual sim duration=1.22
episode=102, mum of sent packets=13869, num of received packets=8802, num of lost packets=5064, PDR=63.47, actual sim duration=1.20
episode=103, mum of sent packets=14161, num of received packets=8873, num of lost packets=5284, PDR=62.66, actual sim duration=1.23
episode=104, mum of sent packets=13939, num of received packets=8834, num of lost packets=5101, PDR=63.38, actual sim duration=1.21
episode=105, mum of sent packets=13948, num of received packets=8976, num of lost packets=4967, PDR=64.35, actual sim duration=1.21
episode=106, mum of sent packets=13797, num of received packets=8667, num of lost packets=5129, PDR=62.82, actual sim duration=1.18
episode=107, mum of sent packets=13866, num of received packets=8885, num of lost packets=4976, PDR=64.08, actual sim duration=1.20
episode=108, mum of sent packets=13982, num of received packets=8957, num of lost packets=5022, PDR=64.06, actual sim duration=1.21
episode=109, mum of sent packets=14088, num of received packets=8803, num of lost packets=5282, PDR=62.49, actual sim duration=1.22
episode=110, mum of sent packets=13807, num of received packets=8885, num of lost packets=4920, PDR=64.35, actual sim duration=2.35
episode=111, mum of sent packets=13955, num of received packets=8818, num of lost packets=5131, PDR=63.19, actual sim duration=1.23
episode=112, mum of sent packets=13916, num of received packets=8837, num of lost packets=5074, PDR=63.50, actual sim duration=1.23
episode=113, mum of sent packets=13964, num of received packets=8829, num of lost packets=5134, PDR=63.23, actual sim duration=1.22
episode=114, mum of sent packets=14082, num of received packets=8818, num of lost packets=5261, PDR=62.62, actual sim duration=1.22
episode=115, mum of sent packets=13683, num of received packets=8708, num of lost packets=4972, PDR=63.64, actual sim duration=1.20
episode=116, mum of sent packets=13973, num of received packets=8862, num of lost packets=5108, PDR=63.42, actual sim duration=1.28
episode=117, mum of sent packets=13784, num of received packets=8829, num of lost packets=4948, PDR=64.05, actual sim duration=1.20
episode=118, mum of sent packets=13996, num of received packets=8824, num of lost packets=5165, PDR=63.05, actual sim duration=1.23
episode=119, mum of sent packets=14067, num of received packets=8866, num of lost packets=5198, PDR=63.03, actual sim duration=1.24
episode=120, mum of sent packets=14071, num of received packets=8873, num of lost packets=5195, PDR=63.06, actual sim duration=1.24
episode=121, mum of sent packets=13899, num of received packets=8903, num of lost packets=4991, PDR=64.05, actual sim duration=1.22
episode=122, mum of sent packets=13871, num of received packets=8718, num of lost packets=5150, PDR=62.85, actual sim duration=1.21
episode=123, mum of sent packets=13807, num of received packets=8733, num of lost packets=5073, PDR=63.25, actual sim duration=1.21
episode=124, mum of sent packets=13863, num of received packets=8812, num of lost packets=5045, PDR=63.56, actual sim duration=1.20
episode=125, mum of sent packets=14031, num of received packets=8901, num of lost packets=5127, PDR=63.44, actual sim duration=1.21
episode=126, mum of sent packets=13975, num of received packets=8851, num of lost packets=5120, PDR=63.33, actual sim duration=1.22
episode=127, mum of sent packets=13891, num of received packets=8702, num of lost packets=5186, PDR=62.64, actual sim duration=1.22
episode=128, mum of sent packets=13856, num of received packets=8953, num of lost packets=4899, PDR=64.61, actual sim duration=1.20
episode=129, mum of sent packets=13824, num of received packets=8969, num of lost packets=4853, PDR=64.88, actual sim duration=1.19
episode=130, mum of sent packets=13922, num of received packets=8960, num of lost packets=4959, PDR=64.36, actual sim duration=1.22
episode=131, mum of sent packets=14019, num of received packets=8865, num of lost packets=5151, PDR=63.24, actual sim duration=1.24
episode=132, mum of sent packets=13834, num of received packets=8791, num of lost packets=5041, PDR=63.55, actual sim duration=1.22
episode=133, mum of sent packets=13985, num of received packets=8868, num of lost packets=5115, PDR=63.41, actual sim duration=1.21
episode=134, mum of sent packets=14042, num of received packets=8986, num of lost packets=5054, PDR=63.99, actual sim duration=1.24
episode=135, mum of sent packets=14000, num of received packets=8855, num of lost packets=5143, PDR=63.25, actual sim duration=1.23
episode=136, mum of sent packets=13814, num of received packets=8829, num of lost packets=4978, PDR=63.91, actual sim duration=1.20
