episode=67, mum of sent packets=14304, num of received packets=9718, num of lost packets=4585, PDR=67.94, actual sim duration=1.00, parameter update time=0.00
episode=68, mum of sent packets=14410, num of received packets=9797, num of lost packets=4610, PDR=67.99, actual sim duration=1.60, parameter update time=0.00
episode=69, mum of sent packets=14116, num of received packets=9785, num of lost packets=4329, PDR=69.32, actual sim duration=0.99, parameter update time=0.00
episode=70, mum of sent packets=14220, num of received packets=9743, num of lost packets=4475, PDR=68.52, actual sim duration=1.00, parameter update time=0.00
episode=71, mum of sent packets=14250, num of received packets=9658, num of lost packets=4588, PDR=67.78, actual sim duration=0.99, parameter update time=0.00
episode=72, mum of sent packets=14131, num of received packets=9606, num of lost packets=4524, PDR=67.98, actual sim duration=0.99, parameter update time=0.00
episode=73, mum of sent packets=14116, num of received packets=9596, num of lost packets=4518, PDR=67.98, actual sim duration=0.98, parameter update time=0.00
episode=74, mum of sent packets=14262, num of received packets=9760, num of lost packets=4496, PDR=68.43, actual sim duration=0.99, parameter update time=0.00
episode=75, mum of sent packets=14147, num of received packets=9630, num of lost packets=4513, PDR=68.07, actual sim duration=0.99, parameter update time=0.00
episode=76, mum of sent packets=14323, num of received packets=9785, num of lost packets=4535, PDR=68.32, actual sim duration=1.00, parameter update time=0.00
episode=77, mum of sent packets=14303, num of received packets=9769, num of lost packets=4532, PDR=68.30, actual sim duration=1.00, parameter update time=0.00
episode=78, mum of sent packets=14288, num of received packets=9771, num of lost packets=4516, PDR=68.39, actual sim duration=1.01, parameter update time=0.00
episode=79, mum of sent packets=14360, num of received packets=9705, num of lost packets=4651, PDR=67.58, actual sim duration=1.01, parameter update time=0.00
episode=80, mum of sent packets=14055, num of received packets=9607, num of lost packets=4444, PDR=68.35, actual sim duration=0.99, parameter update time=0.00
episode=81, mum of sent packets=14271, num of received packets=9696, num of lost packets=4571, PDR=67.94, actual sim duration=1.00, parameter update time=0.00
episode=82, mum of sent packets=14240, num of received packets=9708, num of lost packets=4531, PDR=68.17, actual sim duration=1.00, parameter update time=0.00
episode=83, mum of sent packets=14330, num of received packets=9784, num of lost packets=4543, PDR=68.28, actual sim duration=1.00, parameter update time=0.00
episode=84, mum of sent packets=14520, num of received packets=9866, num of lost packets=4654, PDR=67.95, actual sim duration=1.02, parameter update time=0.00
episode=85, mum of sent packets=14378, num of received packets=9791, num of lost packets=4583, PDR=68.10, actual sim duration=1.00, parameter update time=0.00
episode=86, mum of sent packets=14457, num of received packets=9849, num of lost packets=4606, PDR=68.13, actual sim duration=1.83, parameter update time=0.00
episode=87, mum of sent packets=14138, num of received packets=9655, num of lost packets=4481, PDR=68.29, actual sim duration=0.99, parameter update time=0.00
episode=88, mum of sent packets=14262, num of received packets=9782, num of lost packets=4476, PDR=68.59, actual sim duration=0.99, parameter update time=0.00
episode=89, mum of sent packets=14150, num of received packets=9644, num of lost packets=4505, PDR=68.16, actual sim duration=0.99, parameter update time=0.00
episode=90, mum of sent packets=14519, num of received packets=9823, num of lost packets=4693, PDR=67.66, actual sim duration=1.01, parameter update time=0.00
episode=91, mum of sent packets=14422, num of received packets=9812, num of lost packets=4608, PDR=68.03, actual sim duration=1.02, parameter update time=0.00
episode=92, mum of sent packets=14178, num of received packets=9706, num of lost packets=4471, PDR=68.46, actual sim duration=1.00, parameter update time=0.00
episode=93, mum of sent packets=14357, num of received packets=9861, num of lost packets=4492, PDR=68.68, actual sim duration=1.01, parameter update time=0.00
episode=94, mum of sent packets=14276, num of received packets=9807, num of lost packets=4468, PDR=68.70, actual sim duration=1.00, parameter update time=0.00
episode=95, mum of sent packets=14430, num of received packets=9792, num of lost packets=4632, PDR=67.86, actual sim duration=1.01, parameter update time=0.00
episode=96, mum of sent packets=14490, num of received packets=9875, num of lost packets=4613, PDR=68.15, actual sim duration=1.02, parameter update time=0.00
episode=97, mum of sent packets=14341, num of received packets=9757, num of lost packets=4583, PDR=68.04, actual sim duration=1.01, parameter update time=0.00
episode=98, mum of sent packets=14467, num of received packets=9972, num of lost packets=4491, PDR=68.93, actual sim duration=1.02, parameter update time=0.00
episode=99, mum of sent packets=14205, num of received packets=9737, num of lost packets=4466, PDR=68.55, actual sim duration=1.00, parameter update time=0.00
episode=100, mum of sent packets=14190, num of received packets=9810, num of lost packets=4378, PDR=69.13, actual sim duration=0.99, parameter update time=0.00
episode=101, mum of sent packets=14371, num of received packets=9782, num of lost packets=4585, PDR=68.07, actual sim duration=1.01, parameter update time=0.00
episode=102, mum of sent packets=14540, num of received packets=9908, num of lost packets=4630, PDR=68.14, actual sim duration=1.02, parameter update time=0.00
episode=103, mum of sent packets=14238, num of received packets=9746, num of lost packets=4490, PDR=68.45, actual sim duration=1.00, parameter update time=0.00
episode=104, mum of sent packets=14356, num of received packets=9638, num of lost packets=4717, PDR=67.14, actual sim duration=1.01, parameter update time=0.00
episode=105, mum of sent packets=14268, num of received packets=9745, num of lost packets=4520, PDR=68.30, actual sim duration=1.00, parameter update time=0.00
episode=106, mum of sent packets=14293, num of received packets=9774, num of lost packets=4517, PDR=68.38, actual sim duration=1.00, parameter update time=0.00
episode=107, mum of sent packets=14277, num of received packets=9779, num of lost packets=4493, PDR=68.49, actual sim duration=2.00, parameter update time=0.00
episode=108, mum of sent packets=14165, num of received packets=9672, num of lost packets=4490, PDR=68.28, actual sim duration=1.00, parameter update time=0.00
episode=109, mum of sent packets=14136, num of received packets=9631, num of lost packets=4504, PDR=68.13, actual sim duration=0.99, parameter update time=0.00
episode=110, mum of sent packets=14185, num of received packets=9654, num of lost packets=4529, PDR=68.06, actual sim duration=0.99, parameter update time=0.00
episode=111, mum of sent packets=14346, num of received packets=9848, num of lost packets=4493, PDR=68.65, actual sim duration=1.00, parameter update time=0.00
episode=112, mum of sent packets=14258, num of received packets=9796, num of lost packets=4460, PDR=68.71, actual sim duration=0.99, parameter update time=0.00
episode=113, mum of sent packets=14271, num of received packets=9745, num of lost packets=4520, PDR=68.29, actual sim duration=0.99, parameter update time=0.00
episode=114, mum of sent packets=14386, num of received packets=9750, num of lost packets=4633, PDR=67.77, actual sim duration=1.00, parameter update time=0.00
episode=115, mum of sent packets=14353, num of received packets=9841, num of lost packets=4512, PDR=68.56, actual sim duration=1.00, parameter update time=0.00
episode=116, mum of sent packets=14064, num of received packets=9631, num of lost packets=4429, PDR=68.48, actual sim duration=0.99, parameter update time=0.00
episode=117, mum of sent packets=14510, num of received packets=9779, num of lost packets=4726, PDR=67.39, actual sim duration=1.02, parameter update time=0.00
