episode=54, mum of sent packets=4429, num of lost packets=powerloss:481+collided:467=948, MinEnergyEfficiency=1.64, MaxEnergyEfficiency=57.35, Jain's Fairness Index=0.35, PDR=78.48
episode=55, mum of sent packets=4403, num of lost packets=powerloss:498+collided:402=900, MinEnergyEfficiency=1.54, MaxEnergyEfficiency=55.96, Jain's Fairness Index=0.35, PDR=79.42
episode=56, mum of sent packets=4415, num of lost packets=powerloss:512+collided:400=912, MinEnergyEfficiency=1.10, MaxEnergyEfficiency=52.78, Jain's Fairness Index=0.39, PDR=79.32
episode=57, mum of sent packets=4512, num of lost packets=powerloss:496+collided:500=996, MinEnergyEfficiency=0.78, MaxEnergyEfficiency=53.01, Jain's Fairness Index=0.40, PDR=77.86
episode=58, mum of sent packets=4489, num of lost packets=powerloss:487+collided:475=962, MinEnergyEfficiency=0.78, MaxEnergyEfficiency=53.70, Jain's Fairness Index=0.39, PDR=78.39
episode=59, mum of sent packets=4478, num of lost packets=powerloss:482+collided:461=943, MinEnergyEfficiency=0.74, MaxEnergyEfficiency=59.56, Jain's Fairness Index=0.38, PDR=78.79
episode=60, mum of sent packets=4507, num of lost packets=powerloss:549+collided:447=996, MinEnergyEfficiency=0.75, MaxEnergyEfficiency=43.02, Jain's Fairness Index=0.46, PDR=77.90
episode=61, mum of sent packets=4603, num of lost packets=powerloss:542+collided:420=962, MinEnergyEfficiency=0.91, MaxEnergyEfficiency=54.60, Jain's Fairness Index=0.39, PDR=78.99
episode=62, mum of sent packets=4467, num of lost packets=powerloss:492+collided:430=922, MinEnergyEfficiency=0.86, MaxEnergyEfficiency=58.18, Jain's Fairness Index=0.37, PDR=79.25
episode=63, mum of sent packets=4441, num of lost packets=powerloss:487+collided:429=916, MinEnergyEfficiency=0.87, MaxEnergyEfficiency=61.72, Jain's Fairness Index=0.36, PDR=79.31
episode=64, mum of sent packets=4417, num of lost packets=powerloss:496+collided:418=914, MinEnergyEfficiency=0.72, MaxEnergyEfficiency=53.38, Jain's Fairness Index=0.40, PDR=79.26
episode=65, mum of sent packets=4678, num of lost packets=powerloss:535+collided:485=1020, MinEnergyEfficiency=0.72, MaxEnergyEfficiency=55.88, Jain's Fairness Index=0.39, PDR=78.07
episode=66, mum of sent packets=4479, num of lost packets=powerloss:513+collided:435=948, MinEnergyEfficiency=0.75, MaxEnergyEfficiency=56.04, Jain's Fairness Index=0.37, PDR=78.70
episode=67, mum of sent packets=4520, num of lost packets=powerloss:543+collided:489=1032, MinEnergyEfficiency=1.09, MaxEnergyEfficiency=48.81, Jain's Fairness Index=0.41, PDR=76.95
episode=68, mum of sent packets=4481, num of lost packets=powerloss:520+collided:444=964, MinEnergyEfficiency=0.77, MaxEnergyEfficiency=62.66, Jain's Fairness Index=0.35, PDR=78.42
